Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,04/12/2009,16.11,3,0.98,10273.25,637.69
NIFTY NEXT 50,03/12/2009,16.11,3,0.98,10272.25,637.63
NIFTY NEXT 50,02/12/2009,15.99,2.98,0.99,10197.6,637.75
NIFTY NEXT 50,01/12/2009,15.9,2.96,1,10142.35,637.88
NIFTY NEXT 50,30/11/2009,15.57,2.9,1.02,9933.2,637.97
NIFTY NEXT 50,27/11/2009,15.33,2.85,1.04,9760.45,636.69
NIFTY NEXT 50,26/11/2009,15.53,2.89,1.02,9883.7,636.43
NIFTY NEXT 50,25/11/2009,15.7,2.92,1.01,9991.55,636.4
NIFTY NEXT 50,24/11/2009,15.7,2.92,1.01,9993.15,636.51
NIFTY NEXT 50,23/11/2009,15.63,2.91,1.02,9946.4,636.37
NIFTY NEXT 50,20/11/2009,15.59,2.9,1.02,9922.7,636.48
NIFTY NEXT 50,19/11/2009,15.47,2.88,1.03,9862.65,637.53
NIFTY NEXT 50,18/11/2009,15.71,2.92,1.01,10015.55,637.53
NIFTY NEXT 50,17/11/2009,15.71,2.92,1.01,10016.9,637.61
NIFTY NEXT 50,16/11/2009,15.68,2.92,1.01,9994.5,637.4
NIFTY NEXT 50,13/11/2009,15.5,2.88,1.02,9880.75,637.47
NIFTY NEXT 50,12/11/2009,15.38,2.86,1.03,9803.3,637.41
NIFTY NEXT 50,11/11/2009,15.67,2.97,1.12,9989.95,637.52
NIFTY NEXT 50,10/11/2009,15.29,2.9,1.15,9779.7,639.61
NIFTY NEXT 50,09/11/2009,15.33,2.9,1.15,9805.25,639.61
NIFTY NEXT 50,06/11/2009,14.93,2.83,1.18,9552.85,639.84
NIFTY NEXT 50,05/11/2009,14.64,2.78,1.2,9390.8,641.45
NIFTY NEXT 50,04/11/2009,14.32,2.72,1.22,9188.05,641.62
NIFTY NEXT 50,03/11/2009,13.86,2.63,1.26,8895.15,641.79
NIFTY NEXT 50,30/10/2009,14.21,2.7,1.23,9162.4,644.79
NIFTY NEXT 50,29/10/2009,15.54,2.7,1.24,9141.4,588.25
NIFTY NEXT 50,28/10/2009,15.87,2.75,1.21,9334.3,588.17
NIFTY NEXT 50,27/10/2009,15.86,2.75,1.21,9327.75,588.13
NIFTY NEXT 50,26/10/2009,16.39,2.84,1.17,9641.25,588.24
NIFTY NEXT 50,23/10/2009,16.81,2.87,1.16,9739.95,579.41
NIFTY NEXT 50,22/10/2009,16.85,2.85,1.17,9661.05,573.36
NIFTY NEXT 50,21/10/2009,17.34,2.79,0.97,9818.35,566.23
NIFTY NEXT 50,20/10/2009,17.6,2.84,0.96,9991.5,567.7
NIFTY NEXT 50,17/10/2009,17.62,2.84,0.95,10003.85,567.76
NIFTY NEXT 50,16/10/2009,17.6,2.84,0.96,9991.65,567.71
NIFTY NEXT 50,15/10/2009,17.46,2.81,0.97,9887,566.27
